[!] loading: /tmp/.xxx-vmlinux-none
[!] loading: /tmp/.xxx-vmlinux-protector
uevent_store                            :       8571 vs       8603 (diff = 32)
_dev_info                               :         98 vs         95 (diff = -3)
match_name                              :    1723654 vs    1731558 (diff = 7904)
size_show                               :    1479679 vs    1486015 (diff = 6336)
level_show                              :    1479782 vs    1486118 (diff = 6336)
scsi_set_medium_removal                 :         23 vs         26 (diff = 3)
dev_seq_next                            :    2177887 vs    2190463 (diff = 12576)
dev_seq_stop                            :    2175766 vs    2188342 (diff = 12576)
dev_seq_start                           :    2173528 vs    2186104 (diff = 12576)
mdio_read                               :     286955 vs     287307 (diff = 352)
mdio_write                              :     282047 vs     282399 (diff = 352)
e1000_fix_features                      :     141672 vs     141784 (diff = 112)
e1000_setup_rctl                        :     159900 vs     160012 (diff = 112)
e1000_update_itr                        :     140838 vs     140950 (diff = 112)
e1000_intr                              :     162678 vs     162790 (diff = 112)
e1000_request_irq                       :     165158 vs     165270 (diff = 112)
e1000_tx_timeout                        :     140607 vs     140719 (diff = 112)
e1000_netpoll                           :     162824 vs     162936 (diff = 112)
e1000_vlan_rx_add_vid                   :     139737 vs     139849 (diff = 112)
e1000_update_mng_vlan                   :     164764 vs     164876 (diff = 112)
e1000_vlan_rx_kill_vid                  :     164188 vs     164300 (diff = 112)
e1000_remove                            :     165272 vs     165384 (diff = 112)
e1000_alloc_jumbo_rx_buffers            :     157292 vs     157404 (diff = 112)
e1000_alloc_rx_buffers                  :     156326 vs     156438 (diff = 112)
e1000_clean_jumbo_rx_irq                :     143723 vs     143835 (diff = 112)
e1000_clean_rx_irq                      :     140172 vs     140284 (diff = 112)
e1000_xmit_frame                        :     148153 vs     148265 (diff = 112)
e1000_clean_tx_ring                     :     136150 vs     136262 (diff = 112)
e1000_clean_rx_ring                     :     137302 vs     137414 (diff = 112)
e1000_io_slot_reset                     :     163622 vs     163734 (diff = 112)
e1000_io_error_detected                 :     164134 vs     164278 (diff = 144)
e1000_watchdog                          :     117304 vs     117416 (diff = 112)
__e1000_shutdown                        :     142726 vs     142838 (diff = 112)
e1000_shutdown                          :     157339 vs     157483 (diff = 144)
e1000_configure                         :     145693 vs     145805 (diff = 112)
e1000_io_resume                         :     155064 vs     155208 (diff = 144)
e1000_change_mtu                        :     156347 vs     156491 (diff = 144)
e1000_reset_task                        :     156118 vs     156262 (diff = 144)
e1000_set_features                      :     156236 vs     156380 (diff = 144)
e1000_set_mac                           :     115322 vs     115434 (diff = 112)
e1000_ioctl                             :     123547 vs     123659 (diff = 112)
e1000_get_pauseparam                    :      73455 vs      73567 (diff = 112)
e1000_get_msglevel                      :      73383 vs      73495 (diff = 112)
e1000_set_msglevel                      :      73383 vs      73495 (diff = 112)
e1000_get_regs_len                      :      73382 vs      73494 (diff = 112)
e1000_get_eeprom_len                    :      73386 vs      73498 (diff = 112)
e1000_get_ringparam                     :      73414 vs      73526 (diff = 112)
e1000_test_intr                         :      73385 vs      73497 (diff = 112)
e1000_get_coalesce                      :      73391 vs      73503 (diff = 112)
reg_pattern_test                        :      75369 vs      75481 (diff = 112)
e1000_set_link_ksettings                :      73894 vs      74006 (diff = 112)
e1000_get_link_ksettings                :      74342 vs      74454 (diff = 112)
e1000_get_ethtool_stats                 :      74310 vs      74422 (diff = 112)
e1000_set_phys_id                       :      73191 vs      73303 (diff = 112)
e1000_get_regs                          :      74318 vs      74430 (diff = 112)
e1000_link_test                         :      73564 vs      73676 (diff = 112)
e1000_set_pauseparam                    :      74294 vs      74406 (diff = 112)
e1000_set_eeprom                        :      73659 vs      73771 (diff = 112)
e1000_nway_reset                        :      71544 vs      71656 (diff = 112)
e1000_get_drvinfo                       :      75750 vs      75862 (diff = 112)
e1000_set_wol                           :      75334 vs      75446 (diff = 112)
e1000_set_coalesce                      :      74870 vs      74982 (diff = 112)
e1000_get_wol                           :      75210 vs      75322 (diff = 112)
e1000_get_strings                       :      75254 vs      75366 (diff = 112)
e1000_free_desc_rings                   :      75126 vs      75238 (diff = 112)
e1000_diag_test                         :      82814 vs      82926 (diff = 112)
e1000_get_eeprom                        :      77896 vs      78008 (diff = 112)
e1000_set_ringparam                     :      67033 vs      67145 (diff = 112)
reg_set_and_check                       :      76963 vs      77075 (diff = 112)
phy_init                                :   18491672 vs   18447499 (diff = -44173)
usb_devnode                             :      73146 vs      73322 (diff = 176)
quirks_show                             :      29870 vs      30046 (diff = 176)
speed_show                              :    1394447 vs    1404543 (diff = 10096)
location_show                           :     497529 vs     500281 (diff = 2752)
trace_xhci_dbg_quirks                   :      95962 vs      95994 (diff = 32)
offset_store                            :      91566 vs      92366 (diff = 800)
offset_show                             :      88857 vs      89657 (diff = 800)
i2c_new_secondary_device                :          9 vs         12 (diff = 3)
mode_show                               :      28975 vs      29023 (diff = 48)
metadata_store                          :      40989 vs      41885 (diff = 896)
metadata_show                           :      35062 vs      35782 (diff = 720)
trigger_event                           :      30271 vs      30303 (diff = 32)
default_release                         :     188406 vs     190806 (diff = 2400)
vendor_name_show                        :      31658 vs      31834 (diff = 176)
mfg_show                                :      31644 vs      31820 (diff = 176)
afg_show                                :      31644 vs      31820 (diff = 176)
revision_id_show                        :      31643 vs      31819 (diff = 176)
subsystem_id_show                       :      31643 vs      31819 (diff = 176)
vendor_id_show                          :      31643 vs      31819 (diff = 176)
swsusp_arch_resume                      :       3791 vs       3903 (diff = 112)
dst_discard                             :    1120022 vs    1130918 (diff = 10896)
nlmsg_trim                              :    1442639 vs    1457183 (diff = 14544)
seq_next                                :       9798 vs       9990 (diff = 192)
seq_stop                                :       9878 vs      10070 (diff = 192)
seq_start                               :       9574 vs       9766 (diff = 192)
nf_nat_alloc_null_binding               :         22 vs         24 (diff = 2)
warn_set                                :        591 vs        671 (diff = 80)
dst_output                              :     782022 vs     790102 (diff = 8080)
tcp_stream_memory_free                  :     553818 vs     559626 (diff = 5808)
sock_put                                :     555702 vs     561574 (diff = 5872)
ip_queue_xmit                           :     554860 vs     560748 (diff = 5888)
reqsk_put                               :     550742 vs     556630 (diff = 5888)
udp_lib_hash                            :     463158 vs     467766 (diff = 4608)
udp_lib_close                           :     462870 vs     467478 (diff = 4608)
udplite_getfrag                         :     444682 vs     449194 (diff = 4512)
udplite_sk_init                         :     445702 vs     450214 (diff = 4512)
is_in                                   :     418623 vs     422831 (diff = 4208)
sf_setstate                             :     417805 vs     422013 (diff = 4208)
add_grec                                :     419645 vs     423917 (diff = 4272)
cleanup_match                           :     393750 vs     398438 (diff = 4688)
cleanup_entry                           :     393830 vs     398518 (diff = 4688)
compat_standard_from_user               :     393727 vs     398415 (diff = 4688)
compat_standard_to_user                 :     393766 vs     398454 (diff = 4688)
compat_table_info                       :     394054 vs     398742 (diff = 4688)
__do_replace                            :     394230 vs     398918 (diff = 4688)
translate_table                         :     395323 vs     400011 (diff = 4688)
xfrm_hash_resize                        :      33805 vs      33981 (diff = 176)
ip6frag_init                            :      81766 vs      83414 (diff = 1648)
ip6frag_obj_cmpfn                       :      81166 vs      82926 (diff = 1760)
ip6frag_obj_hashfn                      :      81775 vs      83535 (diff = 1760)
ip6frag_key_hashfn                      :      80876 vs      82636 (diff = 1760)
calipso_doi_walk                        :     976955 vs     983803 (diff = 6848)
calipso_doi_getdef                      :     976472 vs     983320 (diff = 6848)
calipso_cache_invalidate                :     976631 vs     983479 (diff = 6848)
calipso_doi_free                        :     976007 vs     982855 (diff = 6848)
calipso_doi_remove                      :     975947 vs     982795 (diff = 6848)
calipso_doi_add                         :     975626 vs     982474 (diff = 6848)
calipso_doi_putdef                      :     974407 vs     981207 (diff = 6800)
calipso_req_delattr                     :     974263 vs     981063 (diff = 6800)
calipso_cache_add                       :     974287 vs     981087 (diff = 6800)
calipso_skbuff_delattr                  :     973451 vs     980251 (diff = 6800)
calipso_sock_delattr                    :     972631 vs     979431 (diff = 6800)
calipso_sock_getattr                    :     971211 vs     978011 (diff = 6800)
calipso_req_setattr                     :     970651 vs     977451 (diff = 6800)
calipso_sock_setattr                    :     970395 vs     977195 (diff = 6800)
index_show                              :     709432 vs     713688 (diff = 4256)
ieee80211_csa_connection_drop_work      :     248556 vs     250172 (diff = 1616)
ieee80211_auth                          :     202843 vs     203787 (diff = 944)
__kprobes_text_end                      :      64439 vs      10423 (diff = -54016)
__switch_to_asm                         :         86 vs        102 (diff = 16)
interrupt_entry                         :        223 vs        198 (diff = -25)
start_kernel                            :       1063 vs       1139 (diff = 76)
msr_init                                :      46334 vs      46593 (diff = 259)
